ID,keyid,BaseLevelRegion,ServerLevelRegion,Weight,AcceptLimitProfession,Target,TargetDes,SpecialMes,TaskTrigger,LocalizationArea
ID,key（将目标规划进不同的库中，同一个目标可以隶属于多个keyid，策划自定义，支持多个库，格式如：1|2|3）,base等级区间(最低等级=最高等级，最低等级或者最高等级配为0则表示对应的最低等级或者最高等级限制为无限制；如果上下限都配了则表示必须要在这个等级段以内才能被选中),服务器等级区间(最低等级=最高等级，最低等级或者最高等级配为0则表示对应的最低等级或者最高等级限制为无限制；如果上下限都配了则表示必须要在这个等级段以内才能被选中),类型内的权重分布（不同类型不相干），用于标识每个目标被随机到的权重,职业限制（根据职业划分，填取职业ID，可填多个中间用 | 隔开；0表示全职业）。\r\n,目标,目标描述,任务特殊信息,场景触发器，配置针对每个目标的触发器,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1001,1,0=10,0=100,1000,,1|1001=7,普通对话,1017=Main_1005640_accept,,
1002,1,0=10,0=100,1000,,2|1137=3|19=117.19=12.30=142.38,打怪目标,,,
1003,1|3,0=10,0=100,1000,,3|200551=1|26=62.32=9.91=162.01,刷出采集物目标,,1=0=11=200551=1=26=62.32=9.91=162.01,
1004,1,0=10,0=100,1000,,1|12669=7,刷出npc对话测试,1016=Main_1005460_exec,1=0=3=12669=7=171.33=10.80=214.40=90,
1005,2,0=10,0=100,3000,,5|0=1|41=42.80=12.13=44.81=110.21,寻路,,,
1006,2,0=10,0=100,1000,,27|6025=1|7=171.99=10.80=218.89,假使用道具,,,
1007,4,0=10,0=100,1000,,5|0=1|26=59.41=9.84=104.28,寻路,,,
1008,1,0=10,0=100,2000,,41|1001=7,收集道具对话,1270001=3=1001=Main_Test_accept,,
1009,4,0=10,0=100,4000,,2|1001=3|4=94.36=10.17=139.48,打波利,,,
1010,4,0=10,0=100,4000,,2|1001=3|4=94.36=10.17=139.48,继续打波利,,,
1011,3,0=10,0=100,1000,,2|1014=2|7=95.07=10.00=38.16,大斧哥布林，刷出怪物,,1=0=7=1014=2=7=95.07=10.00=38.16=2,
1012,3,0=10,0=100,1000,,41|1002=7,收集道具对话2,1270002=3=1001=Main_Test_accept,,
1013,3,0=10,0=100,1000,,7|2068=1|41=106.97=12.27=65.02|2068=106.97=12.27=65.02,副本测试,,1=0=20=41=8,
2000,5,16=0,0=0,1000,,1|1223=7,普通对话,17021=LoopTask_1223_talk,,
2001,5,16=0,0=0,1000,,2|1001=1|4=91.71=10.17=136.98,击杀魔物,,,
2002,5,16=0,0=0,1000,,3|101=1|1=151.01=7.44=61.38,采集矮灌木,,,
2003,5,16=0,0=0,1000,,41|1230=7,收集道具对话,2010001=1=17021=LoopTask_accepitem,,
2004,5,16=0,0=0,1000,,8|6030=1|4=160.00=6.57=120.80,钓鱼,,,
2005,5,16=0,0=0,1000,,1|1225=7,普通对话,17021=LoopTask_1223_talk,,
10001,6,30=35,30=0,400,,1|1212=7,听听城中一位老士兵的故事,17023=Main_10001_exec,,
10009,6,30=35,30=0,400,,1|1220=7,梅丽德斯很喜欢跟大家讨论她的新发现，去听听她又有什么新鲜事,17023=Main_10009_exec,,
10018,6,30=35,30=0,400,,1|1227=7,骑士团的团员们在休息时间经常会聊天，听听他们在聊什么吧,17023=Main_10018_exec,,
10021,6,30=35,30=0,400,,1|1234=7,胖妹有发现新的美食，想要分享给你,17023=Main_10021_exec,,
10025,6,30=35,30=0,400,,1|1203=7,广播员一直在说着一些消息，要去听听吗？,17023=Main_10025_exec,,
10028,6,30=35,30=0,400,,1|1258=7,鲜花商人正在发愁，去给他开解一下吧,17023=Main_10028_exec,,
10004,6,15=25,15=0,500,,1|1953=26,一个有心事的小女孩。她有什么心事呢？,17023=Main_10004_exec,,
10017,6,15=25,15=0,500,,1|1957=26,街边的妇女超爱说八卦了！快去听听她们在聊什么？,17023=Main_10017_exec,,
10019,6,15=25,15=0,500,,1|1937=26,有个打扮华贵的中年大叔，一看就不是普通人,17023=Main_10019_exec,,
10016,6,15=25,15=0,500,,1|4923=51,梦罗克有个小酒吧，要去点杯酒，看看能知道什么新消息吗？,17023=Main_10016_exec,,
10005,6,55=60,30=0,500,,1|2572=47,农家姑娘也有一些农家的智慧，想听听吗？,17023=Main_10005_exec,,
10010,6,55=60,30=0,500,,1|2582=47,斐扬正殿门口有位侍女，她每天坚持在这里打扫已经很久了。,17023=Main_10010_exec,,
10020,6,55=60,30=0,500,,1|2557=47,为什么斐扬的桥头总站着一个少年望着远方,17023=Main_10020_exec,,
10023,6,55=60,30=0,500,,1|2578=47,有个非常勤劳的小哥，他说他在干活的时候总会涌出许多灵感,17023=Main_10023_exec,,
10024,6,55=60,30=0,500,,1|2561=47,水水很喜欢小动物，所以听过很多关于小动物的故事,17023=Main_10024_exec,,
10006,6,60=65,30=0,400,,1|3023=50,艾尔贝塔的海边料理很受欢迎，要去看看吗？,17023=Main_10006_exec,,
10011,6,60=65,30=0,400,,1|3087=50,跟智慧的考古学者聊一聊你会知道很多事,17023=Main_10011_exec,,
10022,6,60=65,30=0,400,,1|3044=50,宏达是个很奇怪的孩子，一直都没有朋友,17023=Main_10022_exec,,
10027,6,60=65,30=0,400,,1|3036=50,听说这个世界很大。听听艾尔贝塔那里的船长讲讲环游世界的趣事,17023=Main_10027_exec,,
10003,6,25=30,25=0,400,,1|1658=16,吉芬有一个博学的学者，多跟他聊聊可能会知道一些事情吧！,17023=Main_10003_exec,,
10007,6,25=30,25=0,400,,1|1683=16,吉芬有个少女很苦恼，是什么原因呢？,17023=Main_10007_exec,,
10014,6,25=30,25=0,400,,1|1699=16,爱丽芙有新的宣传单在发放了,17023=Main_10014_exec,,
10013,6,25=30,25=0,400,,1|4350=49,吉芬塔中有一个图书馆，这次图书管理员会推荐你看什么书呢？,17023=Main_10013_exec,,
10026,6,25=30,25=0,400,,1|1679=16,有个很喜欢唱歌的小姐姐，要去听她唱歌吗？,17023=Main_10026_exec,,
10002,6,45=50,30=0,300,,1|1371=21,吟游诗人木吉有许多的故事,17023=Main_10002_exec,,
10008,6,45=50,30=0,300,,1|1354=21,伊斯鲁得的铁匠很喜欢跟大家讲自己的工艺,17023=Main_10008_exec,,
10012,6,45=50,30=0,300,,1|1377=21,伊斯鲁得每天都有比武大赛，去凑凑热闹吧,17023=Main_10012_exec,,
10015,6,45=50,30=0,300,,1|9990=21,伊斯鲁得的老商人是个在贸易上很有经验的人。去跟他聊聊吧。,17023=Main_10015_exec,,
10029,6,15=25,15=0,600,,41|1374=21,请收集一些红色药水送去给伊斯鲁得的医生,2010001=10=17023=Main_10029_exec,,
10030,6,25=30,25=0,600,,41|4321=42,请收集一些蓝色药水交给魔法师公会吧,2010005=10=17023=Main_10030_exec,,
10031,6,999=0,15=0,0,,41|4350=49,请收集一些动物外皮给吉芬图书馆送过去,1290017=10=17023=Main_10031_exec,,
10032,6,40=45,30=0,600,,41|1649=16,请收集一些粘稠液体交给吉芬那个爱研究的学者,1290018=10=17023=Main_10032_exec,,
10033,6,50=55,30=0,350,,41|1269=7,请收集一些苹果汁交给冰淇淋商人,1290013=10=17023=Main_10033_exec,,
10034,6,50=55,30=0,350,,41|3486=24,请收集一些杰勒比结晶交给精炼房的精炼大师们,1290014=10=17023=Main_10034_exec,,
10035,6,999=0,25=0,0,,41|1188=7,请收集一些三叶幸运草送给圣歌教会的宣传员,1290015=10=17023=Main_10035_exec,,
10036,6,999=0,25=0,0,,41|10571=47,请收集一些柔毛给斐扬的孤寡老人,1290016=10=17023=Main_10036_exec,,
10037,6,30=35,30=0,600,,41|3123=50,请收集一些蝴蝶翅膀给艾尔贝塔的吟游诗人,2031002=1=17023=Main_10037_exec,,
10038,6,35=40,30=0,600,,41|2553=47,请收集一些苍蝇翅膀送给腿脚不利索的村长,2031003=1=17023=Main_10038_exec,,
10039,6,55=60,30=0,600,,41|1990=26,请收集一些加勒结晶交给梦罗克的吟游诗人达理,1290007=3=17023=Main_10039_exec,,
10040,6,999=0,35=0,0,,41|1028=7,请收集一些光粒交给婚纱店的服务员,1280007=3=17023=Main_10040_exec,,
10041,6,999=0,35=0,0,,41|1235=7,请收集一些幻想花送给卖花的商人,3051103=3=17023=Main_10041_exec,,
10042,6,999=0,35=0,0,,41|3023=50,请收集一些谷物送去给艾尔贝塔的厨子,3051201=3=17023=Main_10042_exec,,
10043,6,999=0,35=0,0,,41|2022=26,请收集一些贝壳送给梦罗克美丽的商人,3051001=3=17023=Main_10043_exec,,
10044,6,50=55,30=0,350,,41|1046=7,请收集一些昆虫外壳交给投机商人,1290008=3=17023=Main_10044_exec,,
10045,6,60=65,30=0,400,,41|3020=50,请收集一些雪勒结晶交给艾尔贝塔的铁匠,1290009=3=17023=Main_10045_exec,,
10046,6,60=65,30=0,400,,41|3020=50,请收集一些坚硬外皮交给艾尔贝塔的铁匠,1290011=3=17023=Main_10046_exec,,
10047,6,999=0,40=0,0,,41|1244=7,请收集一些岩蟹交给卖鱼商人,3051004=3=17023=Main_10047_exec,,
10048,6,999=0,30=0,0,,41|1234=7,请收集一些犬妖的毛交给牛奶商人,1280009=3=17023=Main_10048_exec,,
10049,6,70=80,30=0,500,,41|3486=24,请收集一些刹勒空结晶交给精炼房的精炼大师们,1290012=3=17023=Main_10049_exec,,
10050,6,80=85,30=0,600,,41|3511=41,请收集一些慧眼交给班波,1280011=3=17023=Main_10050_exec,,11
10051,6,999=0,45=0,0,,41|1244=7,请收集一些鱿鱼交给卖鱼商人,3051007=3=17023=Main_10051_exec,,
10052,6,999=0,30=0,0,,41|3035=50,请收集一些泯灭之心交给喜欢收藏的怪老头,1280012=3=17023=Main_10052_exec,,
10053,6,90=0,30=0,500,,41|3036=50,请收集一些巨大杰勒比结晶交给船长杨森,1280008=3=17023=Main_10053_exec,,11
10054,6,85=90,30=0,300,,41|3087=50,请收集一些死人遗骨交给考古学者,1290010=3=17023=Main_10054_exec,,11
10055,6,85=90,30=0,300,,41|3035=50,请收集一些玛哪树枝交给喜欢收藏的怪老头,1290003=3=17023=Main_10055_exec,,11
10056,6,65=70,30=0,600,,41|2577=47,请收集一些空瓶交给斐扬的智恩,1290004=3=17023=Main_10056_exec,,
10057,6,999=0,30=0,0,,41|1219=7,请收集一些布里刊交给皇家特使,1280002=3=17023=Main_10057_exec,,
10058,6,999=0,30=0,0,,41|2574=47,请收集一些腐烂绷带送给斐扬的孟春,1290001=1=17023=Main_10058_exec,,
10059,6,999=0,30=0,0,,41|3087=50,请收集一些亡者遗物交给艾尔贝塔的考古学者,1290005=1=17023=Main_10059_exec,,
10060,6,999=0,30=0,0,,41|3542=41,请收集一些神之手大祭司伊欧娜,1280001=1=17023=Main_10060_exec,,
10061,6,999=0,30=0,0,,41|1997=26,请收集一些黄玉碎片交给梦罗克的商人,1290002=1=17023=Main_10061_exec,,
10062,6,999=0,30=0,0,,41|1658=16,请收集一些赛依伐交给吉芬博学的学者,1290006=1=17023=Main_10062_exec,,
10063,6,999=0,30=0,0,,41|1995=26,请收集一些玻璃珠送给梦罗克美丽的舞娘,1280004=1=17023=Main_10063_exec,,
10064,6,999=0,30=0,0,,41|1354=21,请收集一些龙鳞交给伊斯鲁得的铁匠,1280003=1=17023=Main_10064_exec,,
10065,6,999=0,30=0,0,,41|1048=7,请收集一些兽人英雄之证交给名誉骑士詹姆士,1280006=1=17023=Main_10065_exec,,
10066,6,999=0,30=0,0,,41|1953=26,请收集一些黑猫娃娃送给梦罗克的小女孩,1280005=1=17023=Main_10066_exec,,
10067,6,15=25,30=0,1000,,2|1169=20|28=90.89=9.20=191.3,请帮忙清剿调皮的小鸡,,,
10068,6,15=25,30=0,1000,,2|1002=20|4=57.11=10.03=88.92,请帮忙清理绿棉虫,,,
10069,6,25=30,30=0,1000,,2|1009=20|23=51.68=4.42=139.29,帮忙清理盘旋的苍蝇,,,
10070,6,15=25,30=0,1000,,2|1070=20|28=100.60=12.12=109.43,请帮忙清理调皮的蛋壳小鸡,,,
10071,6,15=25,30=0,1000,,2|1029=20|1=118.41=7.33=158.96,解决盘旋在野外的树精,,,
10072,6,15=25,30=0,1000,,2|1075=20|28=114.61=9.20=165.09,请帮忙清理觅食的秃鹰,,,
10073,6,15=25,30=0,1000,,2|1008=20|1=114.89=7.34=125.70,击败野外的小野猪,,,
10074,6,15=25,30=0,1000,,2|1006=20|1=140.74=7.50=167.30,击败野外游荡的蝗虫,,,
10075,6,25=30,30=0,1000,,2|1025=20|23=89.71=4.42=127.50,寻找并清理罗达蛙,,,
10076,6,999=0,30=0,0,,2|1027=20|36=77.06=23.17=88.19,帮忙清理森灵,,,
10077,6,25=30,30=0,1000,,2|1170=20|23=133.82=7.44=49.80,击败游荡的蜗牛,,,
10078,6,30=35,30=0,1000,,2|1026=20|501=67.94=1.75=132.63,帮忙清理魔菇,,,
10079,6,30=35,30=0,1000,,2|1005=20|501=70.59=1.75=50.54,帮忙清理盗虫,,,
10080,6,30=35,30=0,600,,2|1011=20|5=119.06=10.01=60.63,请帮忙消灭扰乱治安的克瑞米,,,
10081,6,30=35,30=0,1000,,2|1047=20|501=78.51=1.75=63.83,帮忙清理下水道一层的白鼠,,,
10082,6,30=35,30=0,1000,,2|1050=20|501=137.32=1.75=112.77,帮忙消灭魔物吸血蝙蝠,,,
10083,6,35=40,30=0,1000,,2|1076=20|11=121.41=1.70=116.73,帮忙消灭沙漠岔道的沙漠幼狼,,,
10084,6,30=35,30=0,600,,2|1024=20|5=85.78=10.01=118.38,帮忙消灭捣乱的溜溜猴,,,
10085,6,35=40,30=0,1000,,2|1051=20|11=48.58=1.70=101.31,击败游荡的蝎子,,,
10086,6,999=0,35=0,0,,2|1128=20|509=47.32=17.84=106.41,请帮忙清理腐尸,,,
10087,6,999=0,35=0,0,,2|1111=20|19=112.36=12.16=91.77,帮忙清理盘旋的兵蚁,,,
10088,6,999=0,35=0,0,,2|1038=20|503=48.01=7.15=127.60,请帮忙清理魔物毒魔菇,,,
10089,6,999=0,35=0,0,,2|1110=20|19=137.90=12.16=134.38,请帮忙清理工蚁,,,
10090,6,999=0,35=0,0,,2|1172=20|503=64.82=7.15=62.40,请帮忙清消灭浮勒盗虫，维持生态平衡,,,
10091,6,999=0,30=0,0,,2|1174=20|509=80.63=17.84=121.61,请帮忙击杀邪骸战士,,,
10092,6,40=45,30=0,1000,,2|1010=20|12=62.70=5.30=54.07,击败野外的曼陀罗魔花,,,
10093,6,999=0,30=0,0,,2|1173=20|503=40.09=7.15=73.88,寻找并清理玛勒盗虫,,,
10094,6,40=45,30=0,1000,,2|1023=20|10=130.27=11.58=120.17,帮忙清理狸猫,,,
10095,6,40=45,30=0,1000,,2|1049=20|12=61.01=5.30=45.24,击败游荡的青蛇,,,
10096,6,999=0,30=0,0,,2|1109=20|506=120.47=4.32=87.64,帮忙清理白蚁,,,
10097,6,999=0,30=0,0,,2|1176=20|48=141.90=43.02=115.13,帮忙击败大脚熊,,,
10098,6,45=50,30=0,1000,,2|1020=20|505=116.68=12.45=121.92,请帮忙消灭达拉蛙，维持大自然的安宁,,,
10099,6,999=0,30=0,0,,2|1108=20|506=145.92=4.32=139.14,请帮忙清理黑蚁,,,
10100,6,40=45,30=0,1000,,2|1175=20|10=56.97=14.84=116.83,帮忙消灭锹形虫,,,
10101,6,45=50,30=0,1000,,2|1177=20|505=44.33=12.45=147.35,帮忙消灭漂浮虫,,,
10102,6,40=45,30=0,1000,,2|1030=20|12=51.72=5.30=42.82,帮忙狩猎野外的松鼠,,,
10103,6,999=0,30=0,0,,2|1094=20|507=62.50=11.44=69.72,帮忙消灭魔物邪骸海盗,,,
10104,6,45=50,30=0,1000,,2|1091=20|505=126.75=12.45=102.45,请帮忙清理海葵,,,
10105,6,45=50,30=0,1000,,2|1092=20|505=82.11=12.45=100.29,请帮忙消灭水母,,,
10106,6,999=0,30=0,0,,2|1101=20|506=89.35=4.32=52.78,帮忙赶走基尔瑟,,,
10107,6,55=60,30=0,1000,,2|1134=20|34=83.15=6.32=88.83,欺负一下兽人婴儿,,,
10108,6,55=60,30=0,1000,,2|1015=20|8=140.76=1.58=215.46,击败大斧哥布灵，维护哥布灵森林的和平,,,
10109,6,55=60,30=0,1000,,2|1016=20|8=190.89=1.58=154.28,击败链锤哥布灵，维护哥布灵森林的和平,,,
10110,6,55=60,30=0,1000,,2|1130=20|34=142.89=6.32=64.20,请帮忙击杀兽人战士,,,
10111,6,999=0,30=0,0,,2|1178=20|37=83.44=44.38=86.17,击败野外的长老树精,,,
10113,6,50=55,30=0,1000,,2|1034=20|35=102.35=3.61=124.83,请帮忙击杀狼,,,
